Autism: Dorea, Coprococcus, Alistipes, Enterococcus, Parabacteroides, Shigella, Roseburia, Blautia, Faecalibacterium prausnitzii, Enterobacteriaceae, Ruminococcaceae, Lachnospiraceae, Faecalibacterium, Bacteroides fragilis, Phascolarctobacterium, Klebsiella, Ruminococcus, Clostridium, Collinsella, Bacteroides
Multiple Sclerosis: Dorea, Coprococcus, Alistipes, Parabacteroides, Enterococcus, Roseburia, Blautia, Ruminococcus gnavus, Shigella, Faecalibacterium, Ruminococcus, Faecalibacterium prausnitzii, Megamonas, Phascolarctobacterium, Clostridium, Enterobacteriaceae, Ruminococcaceae, Collinsella, Lachnospiraceae, Bacteriodes uniformis
Crohn's Disease: Shigella, Akkermansia, Alistipes, Klebsiella, Collinsella, Bacteroides fragilis, Escherichia, Lachnospira, Phascolarctobacterium, Dorea, Sutterella, Escherichia coli, Coriobacteriaceae, Oscillibacter, Methanobrevibacter, Oscillospira, Coprococcus, Erysipelotrichaceae, Lachnospiraceae, Gemella
Ulcerative Colitis: Shigella, Alistipes, Klebsiella, Collinsella, Akkermansia, Dorea, Phascolarctobacterium, Coprococcus, Bacteroides fragilis, Lachnospiraceae, Eggerthella, Escherichia, Lachnospira, Sutterella, Megamonas, Coriobacteriaceae, Parabacteroides, Proteobacteria, Clostridium, Gemella
Irritable Bowel Syndrome: Alistipes, Dorea, Shigella, Lachnospiraceae, Klebsiella, Fusobacterium, Coprococcus, Parabacteroides, Collinsella, Gemella, Enterococcus, Ruminococcaceae, Actinomyces, Acinetobacter, Dialister, Actinobacteria, Enterobacteriaceae, Phascolarctobacterium, Megasphaera, Akkermansia
Cirrhosis: Dorea, Shigella, Alistipes, Lachnospiraceae, Peptostreptococcaceae, Klebsiella, Coprococcus, Gemella, Fusobacterium, Collinsella, Actinomyces, Eggerthella, Akkermansia, Enterococcus, Parabacteroides, Campylobacter, Acinetobacter, Clostridium, Neisseria, Phascolarctobacterium
Type 2 Diabetes: Klebsiella, Lachnospiraceae, Shigella, Collinsella, Actinomyces, Gemella, Rothia, Fusobacterium, Veillonella atypica, Alistipes, Actinobacteria, Dialister, Clostridium, Campylobacter, Porphyromonas, Akkermansia, Acinetobacter, Dorea, Megamonas, Peptostreptococcaceae
Obesity: Actinobacteria, Lachnospiraceae, Klebsiella, Rothia, Actinomyces, Clostridium, Gemella, Collinsella, Dialister, Acinetobacter, Fusobacterium, Porphyromonas, Shigella, Lactobacillus mucosae, Alistipes, Campylobacter, Propionibacterium, Megamonas, Alloprevotella, Neisseria
Pouchitis: Dialister, Prevotella, Bifidobacterium, Staphylococcus, Enterobacteriaceae, Bacteroides, Streptococcus, Roseburia, Ruminococcaceae, Lachnospiraceae, Haemophilus, Actinomyces, Veillonella, Acinetobacter, Clostridium, Ruminococcus, Porphyromonas, Faecalibacterium prausnitzii, Neisseria, Faecalibacterium
Short Bowel Syndrome: Parabacteroides, Coprococcus, Dorea, Alistipes, Enterococcus, Megamonas, Ruminococcus, Phascolarctobacterium, Roseburia, Shigella, Clostridium, Akkermansia, Faecalibacterium, Blautia, Sutterella, Anaerostipes, Collinsella, Faecalibacterium prausnitzii, Lachnospiraceae, Klebsiella
Acquired Immunodeficiency Syndrome: Blautia, Bacteroides, Faecalibacterium, Faecalibacterium prausnitzii, Roseburia, Bifidobacterium, Streptococcus, Prevotella, Ruminococcus, Enterobacteriaceae, Enterococcus, Lactobacillus, Corynebacterium, Ruminococcaceae, Coprococcus, Parabacteroides, Veillonella, Staphylococcus, Dorea, Clostridium
Laryngeal carcinoma: Eubacterium, Leptotrichia, Moraxella, Proteobacteria, Parvimonas, Aggregatibacter, Pseudomonas, Rothia, Actinomyces, Campylobacter, Dialister, Porphyromonas, Atopobium, Granulicatella, Lachnospira, Coriobacteriaceae, Treponema, Peptostreptococcus, Escherichia, Peptococcus
Psoriasis: Lachnospiraceae, Dialister, Klebsiella, Actinomyces, Acinetobacter, Rothia, Pseudomonas, Porphyromonas, Fusobacterium, Bacteroidetes, Megasphaera, Staphylococcus, Gemella, Ruminococcaceae, Haemophilus, Neisseria, Campylobacter, Clostridium, Actinobacteria, Alloprevotella
Cystic Fibrosis: Gemella, Fusobacterium, Actinomyces, Lachnospiraceae, Campylobacter, Shigella, Klebsiella, Actinobacteria, Rothia, Neisseria, Peptostreptococcaceae, Alistipes, Dorea, Collinsella, Dialister, Porphyromonas, Haemophilus, Propionibacterium, Acinetobacter, Coprococcus
