Collinsella aerofaciens: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Obesity, Clostridium difficile infection(CDI), Cystic fibrosis, Ileal Crohn's disease(CD), Psoriasis, Asthma, Periodontal, Systemic inflammatory response syndrome, COPD, Type 1 diabetes, Colorectal carcinoma, Guttate psoriasis, Ulcerative colitis, Atopic dermatitis
Fusobacterium: Type 1 diabetes, Liver cirrhosis, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Bacterial Vaginosis, Clostridium difficile infection(CDI), Type 2 diabetes, Crohn's disease(CD), Ileal Crohn's disease(CD), COPD, Psoriasis, Periodontal, Colorectal carcinoma, Asthma, Inflammatory bowel disease(IBD), Obesity, Ulcerative colitis, Rheumatoid arthrits, Systemic inflammatory response syndrome, Cystic fibrosis
Porphyromonas gingivalis: Asthma, Periodontal, Necrotizing Enterocolitis, Psoriasis, COPD, Crohn's disease(CD), Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Type 2 diabetes, Systemic inflammatory response syndrome, Obesity, Ileal Crohn's disease(CD), Cystic fibrosis, Clostridium difficile infection(CDI), Atopic dermatitis, Eczema, Guttate psoriasis, Diarrhea Irritable bowel syndrome(IBS), Whipple's disease
Prevotella: Type 1 diabetes, Clostridium difficile infection(CDI), Necrotizing Enterocolitis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Type 2 diabetes, Liver cirrhosis, COPD, Ileal Crohn's disease(CD), Psoriasis, Colorectal carcinoma, Periodontal, Crohn's disease(CD), Asthma, Inflammatory bowel disease(IBD), Ulcerative colitis, Obesity, Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Treponema: Asthma, Periodontal, Necrotizing Enterocolitis, Psoriasis, COPD, Crohn's disease(CD), Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Type 2 diabetes, Systemic inflammatory response syndrome, Obesity, Ileal Crohn's disease(CD), Cystic fibrosis, Clostridium difficile infection(CDI), Atopic dermatitis, Type 1 diabetes, Eczema, Guttate psoriasis, Whipple's disease
Helicobacter pylori: Gastric and duodenal ulcer, Allergic asthma, Atopic dermatitis, Eczema, Atopic sensitisation, Allergic sensitization, Recurrent wheeze, Kidney stones, Asthma, Whipple's disease, Allergy, Periodontal, Diarrhea Irritable bowel syndrome(IBS), Guttate psoriasis, Gastro-oesophageal reflux, Necrotizing Enterocolitis, Psoriasis, New-onset untreated rheumatoid arthrits, COPD, Skin and mucosal infections
Staphylococcus aureus: Cystic fibrosis, Obesity, Atopic dermatitis, Guttate psoriasis, Bacterial Vaginosis, Eczema, Diarrhea Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Kidney stones, Crohn's disease(CD), Whipple's disease, Allergy, Irritable bowel syndrome(IBS), New-onset untreated rheumatoid arthrits, Allergic sensitization, Gastro-oesophageal reflux, Type 2 diabetes, Liver cirrhosis, Atopic sensitisation, Psoriasis
Clostridia: Type 1 diabetes, Clostridium difficile infection(CDI), Bacterial Vaginosis, Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Irritable bowel syndrome(IBS), Crohn's disease(CD), Colorectal carcinoma, Liver cirrhosis, Inflammatory bowel disease(IBD), COPD, Psoriasis, Ulcerative colitis, Periodontal, Rheumatoid arthrits, Asthma, Obesity, Infectious colitis, Atopy
Bifidobacterium: Type 1 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Atopic dermatitis, Crohn's disease(CD), Type 2 diabetes, Eczema, Ileal Crohn's disease(CD), Diarrhea Irritable bowel syndrome(IBS), Kidney stones, Psoriasis, Periodontal, COPD, New-onset untreated rheumatoid arthrits, Colorectal carcinoma, Inflammatory bowel disease(IBD), Obesity
Bifidobacterium catenulatum: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Clostridium difficile infection(CDI), Obesity, Ileal Crohn's disease(CD), Psoriasis, Cystic fibrosis, Type 1 diabetes, Asthma, Periodontal, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Ulcerative colitis, Inflammatory bowel disease(IBD), Atopic dermatitis
Clostridium coccoides: Irritable bowel syndrome(IBS), Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Liver cirrhosis, Ileal Crohn's disease(CD), Clostridium difficile infection(CDI), Colorectal carcinoma, Psoriasis, COPD, Inflammatory bowel disease(IBD), Obesity, Type 1 diabetes, Periodontal, Ulcerative colitis, Asthma, Rheumatoid arthrits, Infectious colitis, Cystic fibrosis
