Colon cancer: Helicobacter pylori, Clostridium difficile, Staphylococcus aureus, Firmicutes, Prevotella, Actinobacteria, Bacteroidetes, Proteobacteria, Clostridium coccoides, Staphylococcus, Lachnospiraceae, Haemophilus, Bacteroides, Lactobacillus, Enterobacteriaceae, Enterococcus, Veillonella, Tropheryma whipplei, Clostridia, Fusobacterium
Periodontal: Proteobacteria, Prevotella, Bacteroidetes, Firmicutes, Haemophilus, Actinobacteria, Staphylococcus, Lactobacillus, Clostridium coccoides, Streptococcus, Helicobacter pylori, Enterobacteriaceae, Actinomyces, Selenomonas, Lachnospiraceae, Porphyromonas gingivalis, Oxalobacteraceae, Sphingomonadaceae, Comamonadaceae, Fusobacterium
Gastric and duodenal ulcer: Helicobacter pylori, Clostridium difficile, Staphylococcus aureus, Firmicutes, Actinobacteria, Bacteroidetes, Prevotella, Clostridium coccoides, Proteobacteria, Staphylococcus, Lachnospiraceae, Bacteroides, Enterococcus, Haemophilus, Enterobacteriaceae, Lactobacillus, Veillonella, Tropheryma whipplei, Stenotrophomonas maltophilia, Clostridia
Gastro-oesophageal reflux: Helicobacter pylori, Clostridium difficile, Staphylococcus aureus, Firmicutes, Prevotella, Actinobacteria, Bacteroidetes, Escherichia coli, Proteobacteria, Tropheryma whipplei, Clostridium coccoides, Stenotrophomonas maltophilia, Desulfovibrio, Staphylococcus epidermidis, Staphylococcus, Dietzia maris, Lachnospiraceae, Bacteroides, Haemophilus, Lactobacillus
Guttate psoriasis: Staphylococcus aureus, Clostridium difficile, Helicobacter pylori, Stenotrophomonas maltophilia, Escherichia coli, Desulfovibrio, Burkholderia, Staphylococcus epidermidis, Dietzia maris, Tropheryma whipplei, Oxalobacter formigenes, Bacteroidetes, Firmicutes, Actinobacteria, Prevotella, Lysobacter, Xanthomonas, Rickettsiales, Proteobacteria, Streptococcus mitis
Atopy: Firmicutes, Prevotella, Actinobacteria, Bacteroidetes, Proteobacteria, Helicobacter pylori, Clostridium difficile, Clostridium coccoides, Lachnospiraceae, Staphylococcus aureus, Bacteroides, Lactobacillus, Clostridia, Haemophilus, Fusobacterium, Veillonella, Bacteroides uniformis, Bacteroides ovatus, Porphyromonadaceae, Bacteroidaceae
Diarrhea Irritable bowel syndrome(IBS): Clostridium difficile, Helicobacter pylori, Staphylococcus aureus, Escherichia coli, Staphylococcus epidermidis, Desulfovibrio, Dietzia maris, Oxalobacter formigenes, Stenotrophomonas maltophilia, Prevotella copri, Tropheryma whipplei, Bifidobacterium, Prevotella, Firmicutes, Actinobacteria, Bacteroidetes, Proteobacteria, Clostridium coccoides, Staphylococcus, Corynebacterium
Irritable bowel syndrome(IBS): Enterobacteriaceae, Clostridium coccoides, Gammaproteobacteria, Bacteroidetes, Streptococcaceae, Pasteurellaceae, Dorea, Haemophilus parainfluenzae, Ruminococcus, Lachnospiraceae, Paenibacillaceae, Collinsella aerofaciens, Coprococcus, Bacteroides, Prevotellaceae, Aeromonadaceae, Syntrophobacteraceae, Peptostreptococcaceae, Cellulomonadaceae, Thiotrichaceae
Constipation Irritable bowel syndrome(IBS): Helicobacter pylori, Clostridium difficile, Firmicutes, Prevotella, Actinobacteria, Bacteroidetes, Clostridium coccoides, Staphylococcus aureus, Proteobacteria, Lachnospiraceae, Bacteroides, Lactobacillus, Haemophilus, Clostridia, Veillonella, Fusobacterium, Staphylococcus, Bacteroides vulgatus, Streptococcus, Bacteroides uniformis
Obesity: Staphylococcus aureus, Proteobacteria, Bacteroidetes, Firmicutes, Prevotella, Burkholderia, Actinobacteria, Lactobacillus, Clostridium coccoides, Rickettsiales, Lysobacter, Erysipelotrichaceae, Haemophilus, Streptococcus mitis, Alcaligenaceae, Methanobrevibacter smithii, Coriobacteriaceae, Enterobacteriaceae, Xanthomonas, Stenotrophomonas maltophilia
Ileal Crohn's disease(CD): Firmicutes, Prevotella, Clostridium coccoides, Bacteroidetes, Actinobacteria, Proteobacteria, Lachnospiraceae, Lactobacillus, Bacteroides, Clostridia, Haemophilus, Fusobacterium, Bacteroides ovatus, Bacteroides uniformis, Veillonella, Bacteroides vulgatus, Enterobacteriaceae, Porphyromonadaceae, Staphylococcus, Streptococcus
