Spirochaetes: Breast Neoplasms, Mouth Neoplasms, Colorectal Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Pancreatic Neoplasms, Crohn Disease, Ulcerative Colitis, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Lung Neoplasms, Constipation, Celiac Disease, Laryngeal Neoplasms, Parkinson Disease, Alzheimer Disease, Tongue Neoplasms, Stomach Neoplasms, Rectal Neoplasms, Irritable Bowel Syndrome
Actinomyces: Lung Neoplasms, Stomach Neoplasms, Alzheimer Disease, Colorectal Neoplasms, Ulcerative Colitis, Crohn Disease, Irritable Bowel Syndrome, Liver Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Parkinson Disease, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Esophageal Neoplasms, Urinary Bladder Neoplasms, Thyroid Neoplasms
Clostridium: Pancreatic Neoplasms, Lung Neoplasms, Alzheimer Disease, Breast Neoplasms, Ulcerative Colitis, Mouth Neoplasms, Crohn Disease, Colorectal Neoplasms, Constipation, Thyroid Neoplasms, Parkinson Disease, Stomach Neoplasms, Celiac Disease, Uterine Cervical Neoplasms, Esophageal Neoplasms, Liver Neoplasms, Head and Neck Neoplasms, Irritable Bowel Syndrome, Pharyngeal Neoplasms, Inflammatory Bowel Diseases
Enterobacteriaceae: Thyroid Neoplasms, Constipation, Esophageal Neoplasms, Stomach Neoplasms, Celiac Disease, Lung Neoplasms, Pancreatic Neoplasms, Alzheimer Disease, Head and Neck Neoplasms, Ulcerative Colitis, Inflammatory Bowel Diseases, Breast Neoplasms, Crohn Disease, Rectal Neoplasms, Colorectal Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Parkinson Disease
Fusobacterium: Pancreatic Neoplasms, Breast Neoplasms, Celiac Disease, Uterine Cervical Neoplasms, Colorectal Neoplasms, Mouth Neoplasms, Lung Neoplasms, Pharyngeal Neoplasms, Stomach Neoplasms, Constipation, Alzheimer Disease, Ulcerative Colitis, Head and Neck Neoplasms, Crohn Disease, Liver Neoplasms, Irritable Bowel Syndrome, Laryngeal Neoplasms, Urinary Bladder Neoplasms, Rectal Neoplasms, Thyroid Neoplasms
Haemophilus: Lung Neoplasms, Alzheimer Disease, Colorectal Neoplasms, Stomach Neoplasms, Ulcerative Colitis, Crohn Disease, Irritable Bowel Syndrome, Liver Neoplasms, Pancreatic Neoplasms, Celiac Disease, Parkinson Disease, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Laryngeal Neoplasms
Porphyromonas: Stomach Neoplasms, Celiac Disease, Colorectal Neoplasms, Lung Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Alzheimer Disease, Crohn Disease, Breast Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Mouth Neoplasms, Uterine Cervical Neoplasms, Constipation, Pharyngeal Neoplasms, Head and Neck Neoplasms, Parkinson Disease, Esophageal Neoplasms, Thyroid Neoplasms, Laryngeal Neoplasms
Prevotella: Lung Neoplasms, Stomach Neoplasms, Constipation, Thyroid Neoplasms, Pancreatic Neoplasms, Alzheimer Disease, Celiac Disease, Ulcerative Colitis, Breast Neoplasms, Esophageal Neoplasms, Colorectal Neoplasms, Crohn Disease, Liver Neoplasms, Irritable Bowel Syndrome, Head and Neck Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Parkinson Disease, Rectal Neoplasms, Pharyngeal Neoplasms
Streptococcus: Constipation, Thyroid Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Celiac Disease, Alzheimer Disease, Esophageal Neoplasms, Breast Neoplasms, Head and Neck Neoplasms, Ulcerative Colitis, Colorectal Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Crohn Disease, Rectal Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Pharyngeal Neoplasms, Parkinson Disease
Veillonella: Lung Neoplasms, Colorectal Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Alzheimer Disease, Stomach Neoplasms, Breast Neoplasms, Celiac Disease, Mouth Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Liver Neoplasms, Constipation, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Head and Neck Neoplasms, Thyroid Neoplasms, Esophageal Neoplasms, Rectal Neoplasms
Fusobacterium varium: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Alzheimer Disease, Lung Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Parkinson Disease, Stomach Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Celiac Disease, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Esophageal Neoplasms, Constipation, Laryngeal Neoplasms
Escherichia coli: Ulcerative Colitis, Crohn Disease, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Lung Neoplasms, Alzheimer Disease, Colorectal Neoplasms, Celiac Disease, Pancreatic Neoplasms, Parkinson Disease, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Esophageal Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Urinary Bladder Neoplasms, Inflammatory Bowel Diseases
Lactobacillus sp.: Crohn Disease, Colorectal Neoplasms, Ulcerative Colitis, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Alzheimer Disease, Celiac Disease, Lung Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Parkinson Disease, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms
Veillonella sp.: Stomach Neoplasms, Celiac Disease, Irritable Bowel Syndrome, Liver Neoplasms, Alzheimer Disease, Esophageal Neoplasms, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Ulcerative Colitis, Crohn Disease, Colorectal Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Parkinson Disease, Pharyngeal Neoplasms, Constipation, Ovarian Neoplasms, Diarrhea
Capnocytophaga gingivalis: Mouth Neoplasms, Breast Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Celiac Disease, Stomach Neoplasms, Liver Neoplasms, Pharyngeal Neoplasms, Tongue Neoplasms, Irritable Bowel Syndrome, Laryngeal Neoplasms, Pancreatic Neoplasms, Alzheimer Disease, Head and Neck Neoplasms, Lung Neoplasms, Constipation, Rectal Neoplasms, Esophageal Neoplasms, Ovarian Neoplasms, Inflammatory Bowel Diseases
Capnocytophaga ochracea: Mouth Neoplasms, Breast Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Ovarian Neoplasms, Celiac Disease, Laryngeal Neoplasms, Gallbladder Neoplasms, Stomach Neoplasms, Pharyngeal Neoplasms, Liver Neoplasms, Head and Neck Neoplasms, Constipation, Pancreatic Neoplasms, Irritable Bowel Syndrome, Alzheimer Disease, Lung Neoplasms, Esophageal Neoplasms
Lachnoanaerobaculum saburreum: Mouth Neoplasms, Breast Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Celiac Disease, Stomach Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Pharyngeal Neoplasms, Alzheimer Disease, Lung Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Pancreatic Neoplasms, Tongue Neoplasms, Ovarian Neoplasms, Esophageal Neoplasms, Prostatic Neoplasms, Rectal Neoplasms
Leptotrichia buccalis: Colorectal Neoplasms, Mouth Neoplasms, Breast Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Pancreatic Neoplasms, Crohn Disease, Ulcerative Colitis, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Laryngeal Neoplasms, Celiac Disease, Constipation, Tongue Neoplasms, Lung Neoplasms, Parkinson Disease, Alzheimer Disease, Stomach Neoplasms, Rectal Neoplasms, Irritable Bowel Syndrome
Prevotella melaninogenica: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Stomach Neoplasms, Celiac Disease, Irritable Bowel Syndrome, Liver Neoplasms, Lung Neoplasms, Alzheimer Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Parkinson Disease, Head and Neck Neoplasms, Urinary Bladder Neoplasms, Constipation, Laryngeal Neoplasms, Tongue Neoplasms
Streptococcus mitis: Crohn Disease, Ulcerative Colitis, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Colorectal Neoplasms, Lung Neoplasms, Alzheimer Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Parkinson Disease, Urinary Bladder Neoplasms, Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Tongue Neoplasms
Clostridiaceae: Lung Neoplasms, Alzheimer Disease, Ulcerative Colitis, Colorectal Neoplasms, Crohn Disease, Pancreatic Neoplasms, Parkinson Disease, Stomach Neoplasms, Breast Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Mouth Neoplasms, Celiac Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Thyroid Neoplasms
Faecalibacterium: Lung Neoplasms, Alzheimer Disease, Ulcerative Colitis, Colorectal Neoplasms, Crohn Disease, Stomach Neoplasms, Pancreatic Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Celiac Disease, Parkinson Disease, Breast Neoplasms, Mouth Neoplasms, Constipation, Uterine Cervical Neoplasms, Thyroid Neoplasms, Esophageal Neoplasms, Pharyngeal Neoplasms, Head and Neck Neoplasms, Rectal Neoplasms
Faecalibacterium prausnitzii: Ulcerative Colitis, Crohn Disease, Colorectal Neoplasms, Lung Neoplasms, Irritable Bowel Syndrome, Alzheimer Disease, Liver Neoplasms, Stomach Neoplasms, Celiac Disease, Parkinson Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Esophageal Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms
Fusobacteria: Colorectal Neoplasms, Lung Neoplasms, Alzheimer Disease, Ulcerative Colitis, Crohn Disease, Stomach Neoplasms, Pancreatic Neoplasms, Celiac Disease, Breast Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Parkinson Disease, Head and Neck Neoplasms, Constipation, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms
Fusobacteriaceae: Colorectal Neoplasms, Stomach Neoplasms, Ulcerative Colitis, Lung Neoplasms, Crohn Disease, Alzheimer Disease, Irritable Bowel Syndrome, Liver Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Parkinson Disease, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Head and Neck Neoplasms, Constipation, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Esophageal Neoplasms
Asteroleplasma: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Alzheimer Disease, Liver Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Celiac Disease, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Coronary Artery Disease, Pharyngeal Neoplasms, Diarrhea, Atherosclerosis, Hypertension, Urinary Bladder Neoplasms
Proteobacteria: Lung Neoplasms, Stomach Neoplasms, Alzheimer Disease, Celiac Disease, Pancreatic Neoplasms, Ulcerative Colitis, Colorectal Neoplasms, Crohn Disease, Irritable Bowel Syndrome, Liver Neoplasms, Constipation, Breast Neoplasms, Parkinson Disease, Thyroid Neoplasms, Mouth Neoplasms, Esophageal Neoplasms, Uterine Cervical Neoplasms, Head and Neck Neoplasms, Pharyngeal Neoplasms, Rectal Neoplasms
Bacteroidaceae: Irritable Bowel Syndrome, Stomach Neoplasms, Liver Neoplasms, Ulcerative Colitis, Crohn Disease, Colorectal Neoplasms, Lung Neoplasms, Alzheimer Disease, Celiac Disease, Parkinson Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Esophageal Neoplasms, Constipation, Pharyngeal Neoplasms, Head and Neck Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms
Bacteroides ovatus: Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Crohn Disease, Ulcerative Colitis, Celiac Disease, Colorectal Neoplasms, Alzheimer Disease, Lung Neoplasms, Parkinson Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Esophageal Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Laryngeal Neoplasms
Phocaeicola vulgatus: Crohn Disease, Irritable Bowel Syndrome, Ulcerative Colitis, Liver Neoplasms, Colorectal Neoplasms, Stomach Neoplasms, Alzheimer Disease, Celiac Disease, Lung Neoplasms, Parkinson Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Esophageal Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Constipation, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Hypertension
Bifidobacterium: Lung Neoplasms, Stomach Neoplasms, Alzheimer Disease, Irritable Bowel Syndrome, Ulcerative Colitis, Liver Neoplasms, Crohn Disease, Colorectal Neoplasms, Celiac Disease, Parkinson Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Constipation, Uterine Cervical Neoplasms, Esophageal Neoplasms, Pharyngeal Neoplasms, Head and Neck Neoplasms, Thyroid Neoplasms, Rectal Neoplasms
Enterococcus: Stomach Neoplasms, Lung Neoplasms, Ulcerative Colitis, Alzheimer Disease, Colorectal Neoplasms, Crohn Disease, Irritable Bowel Syndrome, Celiac Disease, Liver Neoplasms, Pancreatic Neoplasms, Parkinson Disease, Breast Neoplasms, Mouth Neoplasms, Constipation, Uterine Cervical Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Thyroid Neoplasms, Pharyngeal Neoplasms, Rectal Neoplasms
Lactobacillus: Stomach Neoplasms, Lung Neoplasms, Celiac Disease, Alzheimer Disease, Ulcerative Colitis, Crohn Disease, Irritable Bowel Syndrome, Colorectal Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Constipation, Thyroid Neoplasms, Esophageal Neoplasms, Parkinson Disease, Breast Neoplasms, Mouth Neoplasms, Head and Neck Neoplasms, Uterine Cervical Neoplasms, Inflammatory Bowel Diseases, Rectal Neoplasms
Atopobium: Lung Neoplasms, Colorectal Neoplasms, Stomach Neoplasms, Alzheimer Disease, Celiac Disease, Liver Neoplasms, Irritable Bowel Syndrome, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Parkinson Disease, Constipation, Head and Neck Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Esophageal Neoplasms
Hathewaya histolytica: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Esophageal Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Diarrhea, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Ulcerative Colitis, Coronary Artery Disease, Colorectal Neoplasms, Atherosclerosis, Crohn Disease, Hypertension, Vascular Stiffness
Romboutsia lituseburensis: Crohn Disease, Ulcerative Colitis, Irritable Bowel Syndrome, Stomach Neoplasms, Liver Neoplasms, Celiac Disease, Colorectal Neoplasms, Parkinson Disease, Alzheimer Disease, Lung Neoplasms, Esophageal Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Diarrhea
[Eubacterium] rectale: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Mouth Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Coronary Artery Disease, Uterine Cervical Neoplasms, Diarrhea, Pharyngeal Neoplasms, Irritable Bowel Syndrome, Atherosclerosis, Hypertension, Liver Neoplasms, Celiac Disease, Stomach Neoplasms, Urinary Bladder Neoplasms
Enterococcus faecalis: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Diarrhea, Coronary Artery Disease, Breast Neoplasms, Atherosclerosis, Irritable Bowel Syndrome, Mouth Neoplasms, Pancreatic Neoplasms, Alzheimer Disease, Lung Neoplasms, Hypertension, Liver Neoplasms, Coronary Heart Disease, Vascular Stiffness, Squamous Intraepithelial Lesions, Stomach Neoplasms, Uterine Cervical Neoplasms
Odoribacter: Ulcerative Colitis, Crohn Disease, Lung Neoplasms, Colorectal Neoplasms, Alzheimer Disease, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Parkinson Disease, Pancreatic Neoplasms, Celiac Disease, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Constipation, Esophageal Neoplasms, Head and Neck Neoplasms, Thyroid Neoplasms, Inflammatory Bowel Diseases
