Ulcerative Colitis: Eggerthella lenta, Oscillospira, Odoribacteraceae, Turicibacter, Bacteroides uniformis, Akkermansia, Carnobacteriaceae, Sutterella, Verrucomicrobiales, Catenibacterium, Moryella, Fusobacteriales, Actinomycetaceae, Butyricimonas, Parabacteroides distasonis, Megasphaera, Sphingobacterium, Granulicatella, Faecalibacterium prausnitzii, Butyricicoccus
Mouth Neoplasms: Corynebacteriaceae, Capnocytophaga, Spirochaetes, Fusobacterium nucleatum, Sphingobacteriia, Bacillus, Comamonadaceae, Burkholderia, Corynebacterium, Fusobacterium, Flavobacteriaceae, Betaproteobacteria, Corynebacteriales, Peptostreptococcus, Pseudomonadaceae, Oribacterium, Campylobacter, Pseudomonas, Lachnoclostridium, Flavobacteriales
Crohn Disease: Vibrionaceae, Vibrionales, Odoribacteraceae, Eggerthella lenta, Anaerofustis, Collinsella stercoris, Eubacteriaceae, Moryella, Oscillospira, Shewanella, Carnobacteriaceae, candidate division SR1, Turicibacter, Sphingobacterium, Bacteroides uniformis, Megamonas, Cloacibacillus, Verrucomicrobiales, Butyricimonas, Butyricicoccus
Irritable Bowel Syndrome: Prevotella copri, Bacteroides uniformis, Eubacterium, Gemella, Haemophilus parainfluenzae, Coriobacteriales, Actinomycetaceae, Bacteroidaceae, Clostridiales, Porphyromonadaceae, Bifidobacteriaceae, Megasphaera, Phascolarctobacterium, Verrucomicrobia, Bifidobacterium adolescentis, Veillonella dispar, Lactobacillales, Campylobacterales, Akkermansia, Bacteroidia
Celiac Disease: Pseudomonas, Oribacterium, Pasteurellaceae, Peptostreptococcus, Porphyromonas, Staphylococcus, Bacteroides, Coriobacteriaceae, Fusobacterium, Rikenellaceae, Rothia, Actinobacteria, Rothia mucilaginosa, Actinomyces, Aggregatibacter, Staphylococcaceae, Fusobacteriaceae, Pseudomonadaceae, Akkermansia, Neisseria
Colorectal Neoplasms: Micrococcaceae, Carnobacteriaceae, Sphingobacterium, Desulfovibrio, Granulicatella, Verrucomicrobiales, Turicibacter, Fusobacteriales, Odoribacteraceae, Flavobacterium, Oxalobacteraceae, Sphingomonadaceae, Actinomycetaceae, Helicobacter, Selenomonas, Oscillospira, Butyricimonas, Veillonellaceae, Rhizobiales, Eggerthella lenta
Atherosclerosis: Roseburia, Enterobacteriaceae, Firmicutes, Bacteroidetes, Clostridia, Chlamydia pneumoniae, Parabacteroides, Subdoligranulum, Streptococcus, Prevotella, Lactobacillus, Clostridium, Ruminococcaceae, Ruminococcus, Actinobacteria, Proteobacteria, Dorea, Faecalibacterium, Anaerostipes, Enterococcus
Peripheral Arterial Disease: Roseburia, Enterobacteriaceae, Firmicutes, Bacteroidetes, Streptococcus, Prevotella, Parabacteroides, Clostridia, Subdoligranulum, Lactobacillus, Clostridium, Actinobacteria, Ruminococcus, Ruminococcaceae, Proteobacteria, Faecalibacterium, Dorea, Veillonella, Bacteroides, Staphylococcus
Diarrhea: Chlamydia pneumoniae, Roseburia, Enterobacteriaceae, Parabacteroides, Bacteroidetes, Firmicutes, Clostridia, Subdoligranulum, unclassified Rikenellaceae, Odoribacter sp., unclassified Ruminococcaceae, Streptococcus, Lactobacillus, Prevotella, Clostridium, Sneathia sanguinegens, Lactobacillus jensenii, Ruminococcaceae, Ruminococcus, Gemella haemolysans
Coronary Artery Disease: Roseburia, Enterobacteriaceae, Bacteroidetes, Firmicutes, Clostridia, Parabacteroides, Subdoligranulum, Streptococcus, Prevotella, Lactobacillus, Clostridium, Ruminococcaceae, Ruminococcus, Actinobacteria, Proteobacteria, Chlamydia pneumoniae, Dorea, Faecalibacterium, Anaerostipes, Enterococcus
Pancreatic Neoplasms: Corynebacterium, Pseudomonadaceae, Betaproteobacteria, Bacillus, Fusobacterium, Streptococcaceae, Campylobacter, Comamonadaceae, Alphaproteobacteria, Enterobacter, Peptostreptococcus, Fusobacteria, Clostridium, Gammaproteobacteria, Fusobacterium nucleatum, Corynebacteriaceae, Staphylococcaceae, Anaerostipes, Actinomycetales, Pseudomonas
Gastroesophageal Reflux: Enterobacteriaceae, Roseburia, Firmicutes, Bacteroidetes, Streptococcus, Prevotella, Clostridia, Parabacteroides, Subdoligranulum, Lactobacillus, Clostridium, Actinobacteria, Proteobacteria, Ruminococcus, Ruminococcaceae, Dorea, Faecalibacterium, Veillonella, Bacteroides, Staphylococcus
Laryngeal Neoplasms: Fusobacterium, Firmicutes, Streptococcus, Enterobacteriaceae, Bacteroidetes, Prevotella, Actinobacteria, Staphylococcus, Bacteroides, Anaerostipes, Pseudomonas, Porphyromonas, Proteobacteria, Peptostreptococcus, Oribacterium, Streptococcaceae, Lactobacillus, Clostridium, Pseudomonadaceae, Veillonella
Inflammatory Bowel Diseases: Enterobacteriaceae, Firmicutes, Bacteroidetes, Streptococcus, Roseburia, Prevotella, Subdoligranulum, Parabacteroides, Clostridium, Lactobacillus, Clostridia, Actinobacteria, Proteobacteria, Ruminococcus, Anaerostipes, Ruminococcaceae, Staphylococcus, Lachnospiraceae, Bacteroides, Veillonella
