lambda_l2,lambda_mse,AUPR,AUC
0.01,0,0.818973043934256,0.7904511949921534
0.01,1,0.9701506017927564,0.9616622905591153
0.01,2,0.9743219377504326,0.9653364840193601
0.01,3,0.9853705946332205,0.9834469288650249
0.01,4,0.9820544106477943,0.9809750675010269
0.01,5,0.9817992727771196,0.9836401280776015
0.01,6,0.986224079119587,0.983469669305034
0.01,7,0.9787938008633077,0.9751951123244942
0.01,8,0.9810936735479711,0.9775152931522838
0.01,9,0.988019443430451,0.9838139081954743
0.02,0,0.4369214331365014,0.25886677716018913
0.02,1,0.9450732443571145,0.925575417097398
0.02,2,0.9511474877682419,0.9338737970025047
0.02,3,0.9760170629076812,0.9669219571534905
0.02,4,0.9797669879384845,0.9727747552805202
0.02,5,0.9770916959214964,0.9672923644655554
0.02,6,0.9799815105913355,0.9786533233732037
0.02,7,0.9868809484706024,0.9840386539285889
0.02,8,0.9804452839238242,0.9772436920045939
0.02,9,0.981374656848797,0.9760118523830871
0.03,0,0.5948419271027467,0.5710726863581034
0.03,1,0.9342487796089687,0.9217666543414552
0.03,2,0.9613883337816521,0.9517096051992204
0.03,3,0.9641947597470267,0.9497520053458626
0.03,4,0.9707810536821491,0.9664298067233595
0.03,5,0.9767368247990685,0.9711960704816205
0.03,6,0.9720994226907751,0.9705042275477087
0.03,7,0.9774434895810042,0.9699825934661241
0.03,8,0.9771709110681254,0.9772695336327585
0.03,9,0.974846846712256,0.9671447623722867
0.04,0,0.6335916528098566,0.542944789203004
0.04,1,0.9457908927654692,0.9356794046524038
0.04,2,0.9479101030665203,0.9316036495190971
0.04,3,0.9594908691303834,0.9495598507076956
0.04,4,0.9719788926396383,0.961412507409746
0.04,5,0.9738543314136022,0.966747546458828
0.04,6,0.9630451304733807,0.9574828254059895
0.04,7,0.9871439672442339,0.9854487443650728
0.04,8,0.9764700757754217,0.971118282767357
0.04,9,0.9793047457716325,0.9728971828343186
0.05,0,0.6458361002586273,0.5743808813856927
0.05,1,0.9281005163875115,0.9210214579434396
0.05,2,0.9354492032453747,0.9141419918160535
0.05,3,0.9637238618412276,0.9530905012211761
0.05,4,0.9679969288827708,0.9580603349791132
0.05,5,0.9664248204087921,0.9567922591137741
0.05,6,0.9741446999629394,0.9676607634049625
0.05,7,0.9684126950191771,0.9549420398040873
0.05,8,0.9762801956668226,0.9667495977755355
0.05,9,0.972887470787974,0.9636325305898252
0.06,0,0.6631395142304702,0.5995864659315588
0.06,1,0.500775708134235,0.464282568939612
0.06,2,0.9420792337074534,0.9299432773594377
0.06,3,0.9532876025625378,0.9402985533799171
0.06,4,0.9557660887385822,0.9460248578316378
0.06,5,0.9538525897982956,0.9405187006694993
0.06,6,0.9750745412280445,0.9676034932364734
0.06,7,0.9652356019648677,0.9559046003535396
0.06,8,0.963844136482968,0.958127518247353
0.06,9,0.9753159686966464,0.9689686094097538
0.07,0,0.45965706777258414,0.3102978006480134
0.07,1,0.6094366960378059,0.598710290297303
0.07,2,0.9346146674678357,0.9232507396177316
0.07,3,0.9502843766637727,0.9265931040151522
0.07,4,0.9514315169358385,0.9399781588860685
0.07,5,0.9626747114630302,0.9484513613983447
0.07,6,0.9540527005706838,0.940913469750775
0.07,7,0.961625252493711,0.9537864743801509
0.07,8,0.9703278998513222,0.9621521196826637
0.07,9,0.9677547550649672,0.9610893871283441
0.08,0,0.4660693099999156,0.407861880844597
0.08,1,0.5808368885047251,0.5928839613998613
0.08,2,0.8883918502787242,0.8699601762623294
0.08,3,0.947188671230825,0.9317249071990779
0.08,4,0.9594228028557594,0.9446689357598688
0.08,5,0.9585680922466941,0.9455804646946605
0.08,6,0.9684368939103433,0.9565283719138378
0.08,7,0.9682224555494383,0.9603531797775267
0.08,8,0.9671144675970795,0.9582295424766576
0.08,9,0.972623317950864,0.9611899056754906
0.09,0,0.7007316134527349,0.6633465637138706
0.09,1,0.9423863182989418,0.9331027081072627
0.09,2,0.8817062293994997,0.86443268445899
0.09,3,0.9417557785281115,0.9318686649607149
0.09,4,0.9526816738334164,0.9407689375897043
0.09,5,0.9583848363905089,0.946005727118477
0.09,6,0.9634290371265187,0.9519572001800973
0.09,7,0.9599850069083748,0.9469652282928637
0.09,8,0.9531337852305203,0.9366448917144087
0.09,9,0.9672447419927768,0.9578793039706328
0.1,0,0.493146198444919,0.4583163261612892
0.1,1,0.9531223716619778,0.950272241973237
0.1,2,0.9366976555557102,0.930114919774881
0.1,3,0.9395564199161923,0.9238061468553044
0.1,4,0.9467188993595869,0.9279011132377931
0.1,5,0.9503529394486323,0.9325692927745607
0.1,6,0.952568696652573,0.9384681712340089
0.1,7,0.960590093870653,0.9480051850303759
0.1,8,0.9644694543484158,0.9541810456810698
0.1,9,0.9543739047097389,0.9338558439976967
