lambda_l2,lambda_mse,AUPR,AUC
0.001,1,0.9768774419489276,0.9770205472637624
0.001,2,0.9833600281855299,0.9814913057706066
0.001,3,0.9765283312340143,0.9779380123028322
0.001,4,0.9804012760419644,0.9783787366885486
0.001,5,0.9859974771010533,0.9842342988382418
0.001,6,0.9800635378908644,0.9790950727160789
0.001,7,0.9797843017853245,0.9797364039412993
0.001,8,0.980709217309536,0.9784779201576852
0.001,9,0.9838181303633856,0.9829732360385076
0.001,10,0.9857827604982365,0.9844554343468861
0.002,1,0.9773413161657138,0.9735869913461764
0.002,2,0.9832460086485962,0.9800614657775026
0.002,3,0.978561974423503,0.9761050751503253
0.002,4,0.9808629034984812,0.9786018867758036
0.002,5,0.9780005636458569,0.9803296065977509
0.002,6,0.984408847192023,0.9820612189513266
0.002,7,0.9804346105787662,0.9799604053958312
0.002,8,0.9723441684363088,0.9769203439124606
0.002,9,0.9809622903767725,0.9784787746053194
0.002,10,0.9825528430502773,0.9818122510192364
0.003,1,0.9783820776347044,0.9722567462370936
0.003,2,0.9758777646074185,0.9698820967529095
0.003,3,0.9838121093895195,0.9816917463119031
0.003,4,0.9844953438653995,0.9824079872102617
0.003,5,0.988052991117144,0.9865814667924386
0.003,6,0.9775719469445597,0.9787527143161532
0.003,7,0.9781615522941985,0.9769944367355905
0.003,8,0.98661389451576,0.9833949699598744
0.003,9,0.9769447561201485,0.9805544509475403
0.003,10,0.9746304227953161,0.9795135072165493
0.004,1,0.9765400853457438,0.9694672086036956
0.004,2,0.9828653588585545,0.9789235609012292
0.004,3,0.9832782053713963,0.9768781947539263
0.004,4,0.9869863385638908,0.9834195575945657
0.004,5,0.9802429201723791,0.9782294712720345
0.004,6,0.9849334093613473,0.9818521674996029
0.004,7,0.9872886425029594,0.9863841557053747
0.004,8,0.9814401185979822,0.9821592884948475
0.004,9,0.9767587961639983,0.9742300306976128
0.004,10,0.9843477732746072,0.9823808081023054
0.005,1,0.9744213685036922,0.9677351458310719
0.005,2,0.9716497687990723,0.9768258367100824
0.005,3,0.982397386501888,0.9793185224164382
0.005,4,0.9793529250794556,0.9802598239270873
0.005,5,0.9855054511626647,0.984036239939854
0.005,6,0.9885186021037251,0.9872488141404732
0.005,7,0.9848274867516201,0.9818156295341804
0.005,8,0.9893059052982707,0.9863603739111753
0.005,9,0.9791405543352549,0.9759332185574936
0.005,10,0.98353801585186,0.983863806633322
0.006,1,0.9816726645160164,0.9755928129933158
0.006,2,0.9812458406523723,0.9779375126433045
0.006,3,0.9871699108939083,0.984064471999616
0.006,4,0.9881020894235846,0.986731839928615
0.006,5,0.9816007986794405,0.9780341415582262
0.006,6,0.983661801198212,0.9809479893210501
0.006,7,0.9867011269829987,0.9844581814255109
0.006,8,0.978201498500462,0.980083242912739
0.006,9,0.9826892935102934,0.979885428226261
0.006,10,0.9805423076184081,0.9765787098571979
0.007,1,0.9737824237778419,0.9680331398140918
0.007,2,0.9809118208294084,0.9745532979314013
0.007,3,0.9799818592851797,0.976082380237101
0.007,4,0.9841457420623391,0.9813701078388528
0.007,5,0.982394681927175,0.9830236747686278
0.007,6,0.9842901024352908,0.9813190464158634
0.007,7,0.9863693684556644,0.9849767574891818
0.007,8,0.98467010950092,0.9836913024333314
0.007,9,0.9851589756199403,0.9838651189273937
0.007,10,0.9777351831725214,0.9806759575072783
0.008,1,0.9737407360613384,0.9701328141225366
0.008,2,0.9707123116073386,0.9680779615345745
0.008,3,0.981265481651115,0.9801592792853064
0.008,4,0.9807407964765853,0.9779616455119158
0.008,5,0.9824893628228301,0.980579777333437
0.008,6,0.9764686971782481,0.9770205657911453
0.008,7,0.9858694916164126,0.9844581175070581
0.008,8,0.9845119341094936,0.9805303764247657
0.008,9,0.9730928932207566,0.9715848793133819
0.008,10,0.9807089080534139,0.9810473593348353
0.009,1,0.9713874578522337,0.9619819025392709
0.009,2,0.9730737350522419,0.970183419603248
0.009,3,0.9763154842688554,0.9734661039918049
0.009,4,0.9838549084231485,0.9821615279889327
0.009,5,0.9844664356033628,0.9827773320127802
0.009,6,0.9825209745190652,0.9782559794871248
0.009,7,0.985393696335184,0.9835910510177479
0.009,8,0.984094181017238,0.9822344277019226
0.009,9,0.9825659341994577,0.9817404693527025
0.009,10,0.9832828029253069,0.9810738082993209
0.01,1,0.9659912294405991,0.9582040186723109
0.01,2,0.975390268025472,0.9729462790548922
0.01,3,0.9732534514851802,0.9692677252927868
0.01,4,0.9840544359150621,0.9830007722911137
0.01,5,0.9824234732349936,0.9778881080661765
0.01,6,0.9835876463163103,0.9829762119272548
0.01,7,0.9786691242774547,0.9738841140321467
0.01,8,0.9801330361788452,0.9783781382313927
0.01,9,0.9770262827723466,0.9756855208349547
0.01,10,0.9863246886901592,0.9842088779112725
